Entidad,Año,POB_TOT,IM,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL_5000,PO2SM,Tasa_Delictiva
AGUASCALIENTES,2015,1312544.0,17.883963741272,2.60135330015205,29.721797152457,0.681147229693863,0.304154851342315,0.813920146906753,0.752951839769041,21.8622318405905,25.162585025721,34.604084130078,1770.4549333203306
BAJA CALIFORNIA,2015,3315766.0,18.4641382892735,1.96160102947101,30.0778409571577,0.26893414434618,0.472493316247665,2.81770524236432,1.14890434104734,23.0322228836172,10.349162154386,22.845515774548,3653.032210355013
BAJA CALIFORNIA SUR,2015,712029.0,17.3205948867913,2.50545082678913,29.4391266440469,0.386484526000296,1.13624022397585,7.14691836144442,4.08364982398305,26.230969820148,15.6188863094059,22.365039369088,3015.3266229324927
CAMPECHE,2015,899931.0,13.6845553788345,6.68154732186611,35.7437914707475,4.08561946513364,1.58928746185532,6.48931402715335,2.94920887380072,37.9317830854493,30.8754782311088,40.6939396500718,221.57254278383564
CHIAPAS,2015,5217908.0,8.44980122607863,14.9840972447816,53.4005654537931,2.94114202131575,2.48550375529993,13.4457848619921,11.7753967527186,44.460574046607,57.856520275942,62.4633918652968,419.19098611934135
CHIHUAHUA,2015,3556574.0,16.8217094724845,2.66724160407537,33.3086597739798,1.38152305617208,1.80571841411914,2.38877213429939,1.75880869013813,22.159111664878,17.0499193887151,34.7698629578269,1786.5788818115414
CIUDAD DE MEXICO,2015,9209944.0,23.1431092825321,1.42962125095984,17.6419644813308,0.0519522363374757,0.0518195615506952,1.24110360741188,0.633648831513289,14.3978042602539,1.00798658493472,56.1321676549178,1846.905909525617
COAHUILA DE ZARAGOZA,2015,2954915.0,18.4009442352074,1.98787015607382,28.0554748504077,0.620634180862887,0.29076688156414,1.66570295749127,0.657853409452458,23.6179263141485,12.1486404854285,27.9440149349759,1597.0340940433143
COLIMA,2015,711235.0,17.4324510774094,3.90134899637053,33.7948714514301,0.390444319767532,0.38360956320052,0.957735687485211,2.4468922774725,25.6528807799905,14.4749625651156,31.1779342646652,928.1039318931155
DURANGO,2015,1754754.0,14.9422356315564,3.17413199132073,34.460744777585,3.6973424881329,2.62899716971123,3.25777437041803,4.32791102247169,24.5837597115414,36.1884913782787,39.1608547925608,1685.1934801117422
GUANAJUATO,2015,5853677.0,15.1076642591183,6.38822011736245,41.7690543669152,3.36328864728882,0.676699829341614,4.134265880683,2.00233879068303,25.3617891512194,34.6713868906672,37.4075386650175,1664.9534984591735
GUERRERO,2015,3533251.0,6.92834417383611,13.7290228588981,48.3168312147146,13.2168154997557,2.3977122183773,15.6419896721792,14.8601748496675,42.1141185814319,49.6807614290635,53.2918950518008,1064.8266992636527
HIDALGO,2015,2858359.0,13.558748763081,8.26314254390603,36.3389701692535,3.11141112267419,1.11524905862764,5.82784988224973,3.19370370578516,28.1651414991982,58.7141083397852,46.2155932633172,965.5540119348199
JALISCO,2015,7844830.0,17.5845618605123,3.54770474189122,36.0552870397427,0.871726784471499,0.338153339229131,1.8354328377803,1.58678931905334,22.1244171986821,17.4983524180894,29.3981277039679,1229.8928083846304
